iter	Passed	Remaining
0	0	67
1	1	61
2	1	57
3	2	53
4	2	52
5	3	51
6	3	50
7	4	50
8	4	50
9	5	49
10	5	48
11	6	47
12	7	47
13	7	46
14	8	45
15	8	45
16	9	44
17	9	43
18	10	43
19	10	42
20	11	42
21	11	41
22	12	40
23	12	40
24	13	39
25	13	39
26	14	39
27	15	38
28	15	38
29	16	37
30	16	37
31	17	37
32	18	36
33	18	36
34	19	35
35	19	35
36	20	34
37	21	34
38	21	33
39	22	33
40	22	32
41	22	31
42	23	31
43	24	30
44	24	30
45	25	29
46	25	29
47	26	28
48	27	28
49	27	27
50	28	27
51	28	26
52	29	25
53	29	25
54	30	24
55	30	24
56	31	23
57	31	23
58	32	22
59	33	22
60	33	21
61	34	21
62	34	20
63	35	19
64	36	19
65	36	18
66	37	18
67	37	17
68	38	17
69	39	16
70	39	16
71	40	15
72	40	15
73	41	14
74	42	14
75	42	13
76	43	13
77	44	12
78	44	11
79	45	11
80	46	10
81	46	10
82	47	9
83	47	9
84	48	8
85	49	7
86	49	7
87	50	6
88	50	6
89	51	5
90	52	5
91	52	4
92	53	4
93	54	3
94	54	2
95	55	2
96	55	1
97	56	1
98	56	0
99	57	0
