iter	Passed	Remaining
0	164	164749
1	165	82723
2	166	55336
3	167	41626
4	167	33392
5	168	27898
6	168	23970
7	169	21036
8	170	18744
9	170	16906
10	171	15409
11	171	14156
12	172	13093
13	173	12189
14	173	11414
15	174	10731
16	175	10129
17	175	9587
18	176	9103
19	177	8674
20	177	8286
21	178	7930
22	178	7601
23	179	7303
24	180	7029
25	180	6775
26	181	6544
27	182	6327
28	182	6123
29	183	5934
30	184	5756
31	184	5588
32	185	5431
33	185	5283
34	186	5142
35	187	5010
36	187	4884
37	188	4765
38	188	4652
39	189	4545
40	189	4443
41	190	4346
42	191	4258
43	191	4170
44	192	4086
45	193	4006
46	193	3930
47	194	3856
48	195	3785
49	195	3716
50	196	3651
51	196	3591
52	197	3531
53	198	3472
54	198	3416
55	199	3362
56	200	3309
57	200	3258
58	201	3210
59	201	3164
60	202	3118
61	203	3073
62	203	3031
63	204	2990
64	205	2951
65	205	2912
66	206	2873
67	206	2836
68	207	2801
69	208	2768
70	209	2735
71	209	2702
72	210	2671
73	210	2640
74	211	2609
75	212	2579
76	212	2550
77	213	2521
78	213	2493
79	214	2469
80	215	2443
81	215	2417
82	216	2389
83	216	2365
84	217	2342
85	218	2319
86	218	2297
87	219	2278
88	220	2259
89	221	2238
90	222	2218
91	222	2199
92	223	2180
93	224	2160
94	224	2141
95	225	2122
96	226	2104
97	226	2086
98	227	2068
99	227	2050
100	228	2033
101	229	2016
102	229	2000
103	230	1984
104	230	1968
105	231	1953
106	232	1938
107	232	1924
108	233	1909
109	234	1895
110	234	1881
111	235	1867
112	236	1853
113	236	1840
114	237	1827
115	238	1813
116	238	1800
117	239	1787
118	239	1775
119	240	1762
120	241	1750
121	241	1738
122	242	1726
123	242	1714
124	243	1702
125	243	1691
126	244	1679
127	244	1668
128	245	1657
129	245	1646
130	246	1636
131	247	1626
132	247	1616
133	248	1606
134	249	1596
135	249	1587
136	250	1577
137	251	1568
138	251	1559
139	252	1549
140	252	1540
141	253	1529
142	253	1521
143	254	1512
144	255	1504
145	255	1495
146	256	1487
147	256	1478
148	257	1470
149	258	1462
150	258	1454
151	259	1446
152	260	1439
153	260	1431
154	261	1424
155	261	1417
156	262	1409
157	263	1402
158	263	1394
159	264	1388
160	264	1380
161	265	1372
162	265	1365
163	266	1358
164	267	1351
165	267	1344
166	268	1337
167	268	1331
168	269	1324
169	270	1318
170	270	1312
171	271	1306
172	271	1299
173	272	1294
174	273	1288
175	274	1282
176	274	1277
177	275	1271
178	276	1266
179	276	1260
180	277	1255
181	278	1249
182	278	1244
183	279	1238
184	279	1233
185	280	1227
186	281	1222
187	281	1217
188	282	1212
189	283	1206
190	283	1201
191	284	1196
192	284	1191
193	285	1186
194	286	1181
195	286	1176
196	287	1171
197	288	1166
198	288	1162
199	289	1157
200	290	1152
201	290	1148
202	291	1144
203	292	1139
204	292	1134
205	293	1129
206	293	1125
207	294	1121
208	295	1116
209	295	1112
210	296	1107
211	296	1103
212	297	1099
213	298	1094
214	298	1090
215	299	1086
216	299	1082
217	300	1077
218	300	1073
219	301	1069
220	302	1065
221	302	1061
222	303	1057
223	304	1053
224	304	1049
225	305	1045
226	305	1041
227	306	1036
228	306	1033
229	307	1029
230	308	1025
231	308	1021
232	309	1017
233	309	1014
234	310	1010
235	310	1006
236	311	1002
237	312	999
238	312	995
239	313	991
240	313	988
241	314	984
242	314	981
243	315	977
244	316	974
245	316	971
246	317	967
247	318	964
248	318	961
249	319	958
250	320	955
251	320	952
252	321	948
253	321	945
254	322	942
255	323	939
256	323	936
257	324	933
258	325	929
259	325	926
260	326	923
261	326	920
262	327	917
263	327	914
264	328	911
265	329	908
266	329	905
267	330	902
268	330	899
269	331	896
270	332	893
271	332	890
272	333	888
273	334	885
274	334	882
275	335	879
276	336	877
277	336	874
278	337	871
279	337	869
280	338	866
281	339	863
282	339	860
283	340	857
284	340	855
285	341	852
286	342	849
287	342	847
288	343	844
289	344	842
290	344	839
291	345	837
292	346	834
293	346	832
294	347	829
295	347	827
296	348	825
297	349	822
298	349	819
299	350	817
300	351	815
301	351	812
302	352	810
303	352	807
304	353	805
305	354	803
306	354	800
307	355	798
308	355	795
309	356	793
310	357	790
311	357	788
312	358	786
313	358	783
314	359	781
315	359	779
316	360	776
317	361	774
318	361	772
319	362	770
320	362	767
321	363	765
322	364	763
323	364	760
324	365	758
325	365	756
326	366	754
327	367	752
328	367	750
329	368	747
330	368	745
331	369	743
332	370	741
333	370	739
334	371	737
335	371	735
336	372	732
337	373	730
338	373	728
339	374	727
340	375	725
341	375	722
342	376	720
343	376	718
344	377	716
345	378	714
346	378	712
347	379	711
348	380	708
349	380	707
350	381	705
351	382	703
352	382	701
353	383	699
354	384	697
355	384	695
356	385	694
357	386	692
358	386	690
359	387	689
360	388	687
361	389	685
362	389	683
363	390	682
364	391	680
365	391	679
366	392	677
367	393	675
368	394	674
369	394	672
370	395	670
371	396	669
372	397	667
373	397	665
374	398	664
375	399	662
376	399	660
377	400	659
378	401	657
379	402	655
380	402	654
381	403	652
382	403	650
383	404	648
384	404	646
385	405	645
386	406	643
387	407	641
388	407	640
389	408	638
390	408	636
391	409	635
392	410	633
393	410	631
394	411	630
395	412	628
396	412	627
397	413	625
398	414	623
399	414	622
400	415	621
401	416	619
402	417	618
403	418	616
404	419	616
405	420	615
406	421	613
407	421	612
408	422	610
409	423	608
410	423	607
411	424	606
412	425	604
413	426	603
414	426	601
415	427	599
416	428	598
417	428	597
418	429	595
419	430	594
420	430	592
421	431	590
422	432	589
423	432	587
424	433	586
425	434	584
426	434	583
427	435	581
428	436	580
429	436	579
430	437	577
431	438	576
432	439	575
433	440	574
434	441	573
435	441	571
436	442	570
437	443	568
438	444	567
439	444	565
440	445	564
441	446	563
442	446	561
443	447	560
444	448	559
445	449	557
446	449	556
447	450	555
448	451	553
449	451	552
450	452	551
451	453	549
452	454	548
453	454	547
454	455	545
455	456	544
456	456	542
457	457	541
458	458	540
459	458	538
460	459	537
461	460	535
462	460	534
463	461	532
464	462	531
465	462	530
466	463	528
467	464	527
468	464	526
469	465	524
470	466	523
471	466	522
472	467	521
473	468	519
474	469	518
475	469	517
476	470	515
477	471	514
478	471	513
479	472	511
480	473	510
481	473	509
482	474	507
483	475	506
484	475	505
485	476	503
486	477	502
487	477	501
488	478	500
489	479	498
490	479	497
491	480	496
492	481	495
493	482	494
494	482	492
495	483	491
496	484	489
497	484	488
498	485	487
499	486	486
500	486	484
501	487	483
502	488	482
503	488	480
504	489	479
505	489	478
506	490	476
507	491	475
508	491	474
509	492	473
510	492	471
511	493	470
512	494	469
513	495	468
514	495	466
515	496	465
516	497	464
517	497	463
518	498	462
519	499	460
520	499	459
521	500	458
522	501	457
523	501	455
524	502	454
525	502	453
526	503	451
527	504	450
528	504	449
529	505	448
530	506	447
531	506	445
532	507	444
533	508	443
534	508	442
535	509	440
536	509	439
537	510	438
538	511	437
539	511	436
540	512	434
541	513	433
542	514	432
543	514	431
544	515	430
545	516	429
546	516	427
547	517	426
548	517	425
549	518	424
550	519	423
551	520	422
552	520	420
553	521	419
554	522	418
555	522	417
556	523	416
557	524	415
558	524	413
559	525	412
560	525	411
561	526	410
562	527	409
563	527	407
564	528	406
565	529	405
566	529	404
567	530	403
568	530	402
569	531	400
570	532	399
571	532	398
572	533	397
573	534	396
574	534	395
575	535	394
576	536	392
577	536	391
578	537	390
579	537	389
580	538	388
581	539	387
582	539	386
583	540	385
584	541	383
585	541	382
586	542	381
587	543	380
588	543	379
589	544	378
590	544	377
591	545	375
